id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Urban Rhythm,MC Flow,hip-hop,energetic,0.88,110,0.79,0.85,0.08
12,Piano Nocturne,Symphonic Dreams,classical,peaceful,0.25,60,0.52,0.15,0.94
13,Island Vibes,Tropical Sunset,reggae,happy,0.65,96,0.82,0.78,0.45
14,Lonesome Highway,Dusty Roads,country,melancholic,0.55,105,0.38,0.48,0.88
15,Neon Pulse,Synth Wave,electronic,euphoric,0.96,135,0.88,0.92,0.02
16,Smooth Dreams,Velvet Soul,r&b,romantic,0.48,88,0.68,0.70,0.12
17,Thunder Strike,Iron Crown,metal,aggressive,0.97,180,0.35,0.40,0.05
18,Autumn Leaves,Acoustic Hearts,folk,melancholic,0.42,85,0.44,0.36,0.91
